DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,,,635,,,,,,238,102,10.20,,61
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,0,05:00:26 28-Apr-2022,130,0,106,1268,2,65,,,,,
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,1,05:02:36 28-Apr-2022,148,106,152,2065,8,,,,,,
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,2,05:05:04 28-Apr-2022,103,152,144,1496,3,,,,,,
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,3,05:06:47 28-Apr-2022,94,144,102,1333,6,,,,,,
H948 - Wean Female,228977,UT,,,,,,,05:00:26 28-Apr-2022,4,05:08:21 28-Apr-2022,99,102,0,1041,0,-30,,,,,
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,,,783,,,,,,158,118,11.50,8.40,79
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,0,02:28:16 07-May-2022,270,0,256,2633,0,72,,,,,
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,1,02:32:46 07-May-2022,110,256,296,1101,4,,,,,,
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,2,02:34:36 07-May-2022,99,296,256,1101,4,,,,,,
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,3,02:36:15 07-May-2022,165,256,40,2741,7,,,,,,
H948 - Wean Female,228977,UT,,,,,,,02:28:16 07-May-2022,4,02:39:00 07-May-2022,60,40,0,302,0,-23,,,,,
H948 - Wean Female,228977,UT,B,39.0325,-121.3486,,,,03:54:20 11-May-2022,,,506,,,,,,174,104,12.00,,46
H948 - Wean Female,228977,UT,B,39.0325,-121.3486,,,,03:54:20 11-May-2022,0,03:54:20 11-May-2022,83,0,92,1186,2,71,,,,,
H948 - Wean Female,228977,UT,B,39.0325,-121.3486,,,,03:54:20 11-May-2022,1,03:55:43 11-May-2022,93,92,120,1404,2,,,,,,
H948 - Wean Female,228977,UT,B,39.0325,-121.3486,,,,03:54:20 11-May-2022,2,03:57:16 11-May-2022,18,120,100,314,0,,,,,,
H948 - Wean Female,228977,UT,B,39.0325,-121.3486,,,,03:54:20 11-May-2022,3,03:57:34 11-May-2022,137,100,116,1527,6,,,,,,
