DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,,,653,,,,,,243,165,10.30,,51
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,0,14:39:58 30-Apr-2022,89,0,74,1094,0,53,,,,,
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,1,14:41:27 30-Apr-2022,38,74,68,547,3,,,,,,
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,2,14:42:05 30-Apr-2022,245,68,152,1930,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,3,14:46:10 30-Apr-2022,117,152,124,927,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,14:39:58 30-Apr-2022,4,14:48:07 30-Apr-2022,113,124,0,957,0,-26,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,,,824,,,,,,75,210,11.40,9.20,56
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,0,16:57:12 01-May-2022,150,0,136,1301,0,70,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,1,16:59:42 01-May-2022,144,136,212,809,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,2,17:02:06 01-May-2022,348,212,156,481,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,3,17:07:54 01-May-2022,114,156,9,1229,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:57:12 01-May-2022,4,17:09:48 01-May-2022,12,9,0,10,0,-33,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,,,693,,,,,,108,84,11.50,,41
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,0,15:59:08 02-May-2022,97,0,86,814,0,67,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,1,16:00:45 02-May-2022,41,86,112,173,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,2,16:01:26 02-May-2022,15,112,116,45,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,3,16:01:41 02-May-2022,443,116,50,525,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:59:08 02-May-2022,4,16:09:04 02-May-2022,56,50,0,685,0,-28,,,,,
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,,,247,,,,,,33,,12.00,,52
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,0,05:06:45 03-May-2022,58,0,8,875,2,26,,,,,
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,1,05:07:43 03-May-2022,12,8,4,205,0,,,,,,
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,2,05:07:55 03-May-2022,18,4,17,273,1,,,,,,
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,3,05:08:13 03-May-2022,23,17,3,342,4,,,,,,
J484 - Wean Female,228980,UT,A,38.3020,-124.6879,,,,05:06:45 03-May-2022,4,05:08:36 03-May-2022,84,3,0,1735,8,1,,,,,
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,,,860,,,,,,18,139,12.20,,44
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,0,14:56:24 04-May-2022,32,0,27,403,0,54,,,,,
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,1,14:56:56 04-May-2022,83,27,60,543,0,,,,,,
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,2,14:58:19 04-May-2022,102,60,136,677,0,,,,,,
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,3,15:00:01 04-May-2022,529,136,62,741,0,,,,,,
J484 - Wean Female,228980,UT,B,38.6337,-124.7412,,,,14:56:24 04-May-2022,4,15:08:50 04-May-2022,70,62,0,718,0,-24,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,,,975,,,,,,76,176,11.80,8.20,58
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,0,15:34:43 08-May-2022,158,0,156,1158,0,74,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,1,15:37:21 08-May-2022,164,156,132,267,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,2,15:40:05 08-May-2022,51,132,156,277,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,3,15:40:56 08-May-2022,437,156,98,594,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,15:34:43 08-May-2022,4,15:48:13 08-May-2022,107,98,0,1257,0,-31,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,,,591,,,,,,241,214,12.20,,56
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,0,01:53:05 12-May-2022,113,0,104,1381,0,60,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,1,01:54:58 12-May-2022,58,104,116,561,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,2,01:55:56 12-May-2022,30,116,88,496,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,3,01:56:26 12-May-2022,142,88,120,2739,14,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:53:05 12-May-2022,4,01:58:48 12-May-2022,192,120,0,2308,6,-8,,,,,
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,,,588,,,,,,49,252,11.70,,50
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,0,18:31:02 12-May-2022,101,0,102,1114,0,68,,,,,
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,1,18:32:43 12-May-2022,126,102,148,1271,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,2,18:34:49 12-May-2022,71,148,106,997,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,3,18:36:00 12-May-2022,131,106,112,2482,15,,,,,,
J484 - Wean Female,228980,UT,,,,,,,18:31:02 12-May-2022,4,18:38:11 12-May-2022,109,112,0,1505,3,-19,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,,,706,,,,,,170,164,11.60,8.00,48
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,0,13:29:02 14-May-2022,139,0,136,1288,0,67,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,1,13:31:21 14-May-2022,200,136,196,1200,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,2,13:34:41 14-May-2022,201,196,104,2241,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,3,13:38:02 14-May-2022,56,104,70,865,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:29:02 14-May-2022,4,13:38:58 14-May-2022,62,70,0,935,1,-22,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,,,688,,,,,,247,76,11.00,7.60,68
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,0,02:29:40 16-May-2022,242,0,312,3445,7,75,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,1,02:33:42 16-May-2022,53,312,280,732,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,2,02:34:35 16-May-2022,44,280,304,922,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,3,02:35:19 16-May-2022,82,304,256,1112,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:29:40 16-May-2022,4,02:36:41 16-May-2022,199,256,0,2740,2,-32,,,,,
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,,,660,,,,,,61,243,11.30,7.50,60
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,0,19:20:00 16-May-2022,164,0,140,1823,1,58,,,,,
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,1,19:22:44 16-May-2022,84,140,176,807,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,2,19:24:08 16-May-2022,122,176,192,1194,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,3,19:26:10 16-May-2022,80,192,160,1049,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,19:20:00 16-May-2022,4,19:27:30 16-May-2022,150,160,0,2049,0,-17,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,,,481,,,,,,202,,11.10,,52
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,0,03:22:51 20-May-2022,54,0,60,808,1,65,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,1,03:23:45 20-May-2022,87,60,100,889,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,2,03:25:12 20-May-2022,47,100,45,829,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,3,03:25:59 20-May-2022,164,45,84,2567,3,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:22:51 20-May-2022,4,03:28:43 20-May-2022,77,84,0,1152,2,-24,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,,,400,,,,,,21,182,11.30,8.20,51
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,0,02:24:11 22-May-2022,63,0,92,806,0,71,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,1,02:25:14 22-May-2022,57,92,100,1044,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,2,02:26:11 22-May-2022,68,100,200,2326,17,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,3,02:27:19 22-May-2022,93,200,94,1465,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,02:24:11 22-May-2022,4,02:28:52 22-May-2022,68,94,0,989,0,-43,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,,,910,,,,,,247,22,11.40,7.70,62
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,0,01:15:52 27-May-2022,119,0,120,952,1,74,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,1,01:17:51 27-May-2022,60,120,164,169,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,2,01:18:51 27-May-2022,424,164,272,1079,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,3,01:25:55 27-May-2022,139,272,148,2686,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,01:15:52 27-May-2022,4,01:28:14 27-May-2022,106,148,0,1946,0,-46,,,,,
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,,,585,,,,,,251,85,10.60,6.90,48
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,0,11:11:03 27-May-2022,117,0,110,1130,1,65,,,,,
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,1,11:13:00 27-May-2022,76,110,132,1175,4,,,,,,
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,2,11:14:16 27-May-2022,29,132,112,407,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,3,11:14:45 27-May-2022,93,112,188,791,3,,,,,,
J484 - Wean Female,228980,UT,,,,,,,11:11:03 27-May-2022,4,11:16:18 27-May-2022,222,188,0,2869,7,-21,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,,,1715,,,,,,214,105,10.50,7.20,1183
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,0,13:31:08 28-May-2022,104,0,106,935,0,76,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,1,13:32:52 28-May-2022,75,106,116,2224,7,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,2,13:34:07 28-May-2022,129,116,160,3210,7,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,3,13:36:16 28-May-2022,54,160,152,1491,9,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:31:08 28-May-2022,4,13:37:10 28-May-2022,170,152,0,3008,6,-30,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,,,555,,,,,,69,,11.30,,52
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,0,13:21:37 29-May-2022,79,0,82,1146,0,58,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,1,13:22:56 29-May-2022,70,82,80,1048,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,2,13:24:06 29-May-2022,32,80,100,439,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,3,13:24:38 29-May-2022,212,100,88,3096,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,13:21:37 29-May-2022,4,13:28:10 29-May-2022,110,88,0,1731,0,-8,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,,,462,,,,,,67,36,11.20,,45
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,0,16:33:03 29-May-2022,72,0,106,969,0,73,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,1,16:34:15 29-May-2022,58,106,136,1087,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,2,16:35:13 29-May-2022,30,136,108,494,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,3,16:35:43 29-May-2022,169,108,102,2510,2,,,,,,
J484 - Wean Female,228980,UT,,,,,,,16:33:03 29-May-2022,4,16:38:32 29-May-2022,88,102,0,1443,0,-25,,,,,
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,,,446,,,,,,245,,12.10,,43
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,0,03:55:17 01-Jun-2022,41,0,41,357,0,55,,,,,
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,1,03:55:58 01-Jun-2022,50,41,60,514,0,,,,,,
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,2,03:56:48 01-Jun-2022,208,60,50,2837,1,,,,,,
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,3,04:00:16 01-Jun-2022,35,50,38,603,0,,,,,,
J484 - Wean Female,228980,UT,B,49.4256,-126.1355,,,,03:55:17 01-Jun-2022,4,04:00:51 01-Jun-2022,69,38,0,1050,0,0,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,,,516,,,,,,145,29,10.60,7.00,70
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,0,03:54:34 04-Jun-2022,115,0,148,504,0,70,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,1,03:56:29 04-Jun-2022,73,148,180,585,0,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,2,03:57:42 04-Jun-2022,21,180,216,887,1,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,3,03:58:03 04-Jun-2022,87,216,176,1471,5,,,,,,
J484 - Wean Female,228980,UT,,,,,,,03:54:34 04-Jun-2022,4,03:59:30 04-Jun-2022,150,176,0,2560,2,-44,,,,,
