DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,,,1028,,,,,,131,232,12.70,9.60,102
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,0,00:54:34 20-May-2022,369,0,498,1285,0,71,,,,,
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,1,01:00:43 20-May-2022,159,498,472,3473,24,,,,,,
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,2,01:03:22 20-May-2022,152,472,360,2188,1,,,,,,
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,3,01:05:54 20-May-2022,87,360,272,1504,0,,,,,,
E820 - 2yo Female,228957,UT,B,38.3843,-124.9967,,,,00:54:34 20-May-2022,4,01:07:21 20-May-2022,159,272,0,2488,1,-50,,,,,
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,,,1090,,,,,,124,39,12.80,9.90,103
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,0,17:45:33 20-May-2022,247,0,320,826,1,70,,,,,
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,1,17:49:40 20-May-2022,131,320,432,275,0,,,,,,
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,2,17:51:51 20-May-2022,123,432,440,826,1,,,,,,
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,3,17:53:54 20-May-2022,239,440,352,2662,0,,,,,,
E820 - 2yo Female,228957,UT,B,38.8743,-125.9258,,,,17:45:33 20-May-2022,4,17:57:53 20-May-2022,247,352,0,3886,0,-35,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,,,795,,,,,,75,79,12.10,8.20,70
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,0,04:07:55 22-May-2022,215,0,272,806,1,70,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,1,04:11:30 22-May-2022,57,272,288,351,2,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,2,04:12:27 22-May-2022,102,288,280,859,0,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,3,04:14:09 22-May-2022,141,280,204,1701,2,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:07:55 22-May-2022,4,04:16:30 22-May-2022,210,204,0,2226,0,-12,,,,,
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,,,1091,,,,,,181,84,12.40,8.60,92
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,0,06:53:21 28-May-2022,47,0,76,293,0,64,,,,,
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,1,06:54:08 28-May-2022,148,76,360,424,0,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,2,06:56:36 28-May-2022,195,360,472,1759,9,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,3,06:59:51 28-May-2022,367,472,376,3779,11,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,06:53:21 28-May-2022,4,07:05:58 28-May-2022,242,376,0,4137,2,-51,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,,,1184,,,,,,17,248,10.10,5.10,94
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,0,16:21:50 23-Jun-2022,366,0,608,1485,1,76,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,1,16:27:56 23-Jun-2022,85,608,608,1874,12,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,2,16:29:21 23-Jun-2022,60,608,656,495,5,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,3,16:30:21 23-Jun-2022,272,656,512,4491,21,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:21:50 23-Jun-2022,4,16:34:53 23-Jun-2022,307,512,0,4385,2,-49,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,,,1234,,,,,,192,209,10.60,4.30,100
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,0,04:31:06 17-Jul-2022,292,0,384,1377,0,75,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,1,04:35:58 17-Jul-2022,71,384,512,449,0,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,2,04:37:09 17-Jul-2022,80,512,560,868,6,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,3,04:38:29 17-Jul-2022,381,560,512,3803,9,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:31:06 17-Jul-2022,4,04:44:50 17-Jul-2022,310,512,0,3264,3,-45,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,,,1414,,,,,,233,204,11.90,4.70,103
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,0,04:08:09 25-Jul-2022,420,0,608,2310,4,66,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,1,04:15:09 25-Jul-2022,184,608,528,2398,12,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,2,04:18:13 25-Jul-2022,103,528,592,1276,7,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,3,04:19:56 25-Jul-2022,246,592,498,2420,10,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,04:08:09 25-Jul-2022,4,04:24:02 25-Jul-2022,358,498,0,2794,6,-49,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,,,1365,,,,,,229,219,12.00,4.70,101
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,0,16:40:56 26-Jul-2022,385,0,576,2305,1,69,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,1,16:47:21 26-Jul-2022,188,576,560,2377,16,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,2,16:50:29 26-Jul-2022,39,560,512,528,1,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,3,16:51:08 26-Jul-2022,297,512,528,2809,15,,,,,,
E820 - 2yo Female,228957,UT,,,,,,,16:40:56 26-Jul-2022,4,16:56:05 26-Jul-2022,355,528,0,3049,3,-50,,,,,
E820 - 2yo Female,228957,UT,,,,,,,18:48:31 29-Jul-2022,,,1416,,,,,,210,154,12.90,4.70,127
E820 - 2yo Female,228957,UT,,,,,,,18:48:31 29-Jul-2022,0,18:48:31 29-Jul-2022,433,0,592,2663,0,75,,,,,
E820 - 2yo Female,228957,UT,,,,,,,18:48:31 29-Jul-2022,1,18:55:44 29-Jul-2022,101,592,498,1222,4,,,,,,
