DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,,,1047,,,,,,65,,11.50,,54
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,0,14:33:27 28-May-2022,47,0,66,396,0,70,,,,,
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,1,14:34:14 28-May-2022,302,66,70,1610,0,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,2,14:39:16 28-May-2022,582,70,66,3145,2,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,3,14:48:58 28-May-2022,46,66,10,421,0,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,14:33:27 28-May-2022,4,14:49:44 28-May-2022,16,10,0,25,0,-19,,,,,
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,,,982,,,,,,5,,12.00,,91
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,0,00:47:09 29-May-2022,63,0,45,471,0,48,,,,,
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,1,00:48:12 29-May-2022,48,45,62,294,0,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,2,00:49:00 29-May-2022,453,62,66,3737,1,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,3,00:56:33 29-May-2022,216,66,64,1736,0,,,,,,
G042 - 3yo Male,228969,UT,,,,,,,00:47:09 29-May-2022,4,01:00:09 29-May-2022,111,64,0,618,0,4,,,,,
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,,,1089,,,,,,35,,9.40,,54
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,0,11:12:45 29-May-2022,137,0,102,1039,0,51,,,,,
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,1,11:15:02 29-May-2022,550,102,88,2748,1,,,,,,
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,2,11:24:12 29-May-2022,33,88,104,130,0,,,,,,
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,3,11:24:45 29-May-2022,153,104,102,779,1,,,,,,
G042 - 3yo Male,228969,UT,B,37.3327,-124.2134,,,,11:12:45 29-May-2022,4,11:27:18 29-May-2022,162,102,0,931,0,0,,,,,
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,,,1314,,,,,,44,235,9.40,8.00,72
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,0,17:59:18 29-May-2022,243,0,264,1282,0,69,,,,,
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,1,18:03:21 29-May-2022,359,264,448,2183,14,,,,,,
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,2,18:09:20 29-May-2022,155,448,432,1248,4,,,,,,
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,3,18:11:55 29-May-2022,233,432,264,2183,0,,,,,,
G042 - 3yo Male,228969,UT,B,37.8904,-123.4896,,,,17:59:18 29-May-2022,4,18:15:48 29-May-2022,252,264,0,2201,0,-8,,,,,
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,,,1063,,,,,,235,77,10.40,8.40,87
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,0,04:33:44 30-May-2022,145,0,124,987,0,59,,,,,
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,1,04:36:09 30-May-2022,381,124,288,2725,2,,,,,,
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,2,04:42:30 30-May-2022,130,288,248,1652,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,3,04:44:40 30-May-2022,198,248,110,2167,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.1530,-123.1845,,,,04:33:44 30-May-2022,4,04:47:58 30-May-2022,122,110,0,772,0,-8,,,,,
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,,,1247,,,,,,106,230,11.60,8.80,85
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,0,14:50:38 30-May-2022,163,0,228,1167,0,68,,,,,
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,1,14:53:21 30-May-2022,382,228,384,1526,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,2,14:59:43 30-May-2022,54,384,472,599,5,,,,,,
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,3,15:00:37 30-May-2022,336,472,248,3801,7,,,,,,
G042 - 3yo Male,228969,UT,B,38.4352,-124.5487,,,,14:50:38 30-May-2022,4,15:06:13 30-May-2022,227,248,0,2155,0,-8,,,,,
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,,,1209,,,,,,124,228,13.00,9.60,96
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,0,01:21:27 31-May-2022,191,0,248,1175,1,70,,,,,
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,1,01:24:38 31-May-2022,400,248,440,1528,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,2,01:31:18 31-May-2022,157,440,400,890,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,3,01:33:55 31-May-2022,165,400,272,1595,0,,,,,,
G042 - 3yo Male,228969,UT,B,38.7103,-125.4706,,,,01:21:27 31-May-2022,4,01:36:40 31-May-2022,200,272,0,2132,0,-20,,,,,
G042 - 3yo Male,228969,UT,A,39.0405,-124.8022,,,,16:00:33 31-May-2022,,,1253,,,,,,88,249,12.70,9.60,86
G042 - 3yo Male,228969,UT,A,39.0405,-124.8022,,,,16:00:33 31-May-2022,0,16:00:33 31-May-2022,310,0,368,1619,1,68,,,,,
G042 - 3yo Male,228969,UT,A,39.0405,-124.8022,,,,16:00:33 31-May-2022,1,16:05:43 31-May-2022,173,368,456,789,0,,,,,,
G042 - 3yo Male,228969,UT,A,39.0405,-124.8022,,,,16:00:33 31-May-2022,2,16:08:36 31-May-2022,274,456,440,2366,4,,,,,,
