DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,,,941,,,,,,111,101,11.20,8.50,79
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,0,04:55:38 07-Jun-2022,175,0,148,809,0,54,,,,,
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,1,04:58:33 07-Jun-2022,121,148,192,590,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,2,05:00:34 07-Jun-2022,371,192,144,2776,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,3,05:06:45 07-Jun-2022,94,144,104,940,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,04:55:38 07-Jun-2022,4,05:08:19 07-Jun-2022,101,104,0,809,0,-13,,,,,
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,,,767,,,,,,83,87,15.10,,72
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,0,03:50:25 11-Jun-2022,174,0,110,1485,0,45,,,,,
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,1,03:53:19 11-Jun-2022,81,110,48,880,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,2,03:54:40 11-Jun-2022,196,48,64,1832,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,3,03:57:56 11-Jun-2022,173,64,36,1774,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,03:50:25 11-Jun-2022,4,04:00:49 11-Jun-2022,71,36,0,418,0,6,,,,,
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,,,1210,,,,,,49,2,15.40,8.00,95
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,0,01:01:25 12-Jun-2022,322,0,416,1040,0,68,,,,,
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,1,01:06:47 12-Jun-2022,192,416,472,1040,1,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,2,01:09:59 12-Jun-2022,131,472,456,891,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,3,01:12:10 12-Jun-2022,122,456,368,1367,0,,,,,,
E749 - 3yo Male,214388,UT,,,,,,,01:01:25 12-Jun-2022,4,01:14:12 12-Jun-2022,348,368,0,3773,0,-15,,,,,
