DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,,,1200,,,,,,52,80,10.50,,57
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,0,03:30:57 31-May-2022,107,0,90,1052,1,55,,,,,
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,1,03:32:44 31-May-2022,197,90,112,988,0,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,2,03:36:01 31-May-2022,634,112,98,4048,3,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,3,03:46:35 31-May-2022,125,98,50,765,1,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,03:30:57 31-May-2022,4,03:48:40 31-May-2022,80,50,0,383,0,-1,,,,,
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,,,1288,,,,,,37,234,9.80,8.30,65
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,0,14:19:37 31-May-2022,124,0,196,1437,1,69,,,,,
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,1,14:21:41 31-May-2022,191,196,328,1260,1,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,2,14:24:52 31-May-2022,411,328,352,2499,1,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,3,14:31:43 31-May-2022,315,352,241,2263,1,,,,,,
D732 - 3yo Female,228973,UT,,,,,,,14:19:37 31-May-2022,4,14:36:58 31-May-2022,182,241,0,1220,0,-17,,,,,
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,,,1563,,,,,,109,179,10.40,8.20,63
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,0,00:55:00 01-Jun-2022,199,0,236,1526,0,69,,,,,
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,1,00:58:19 01-Jun-2022,199,236,376,1086,2,,,,,,
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,2,01:01:38 01-Jun-2022,317,376,272,1603,0,,,,,,
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,3,01:06:55 01-Jun-2022,609,272,164,3284,0,,,,,,
D732 - 3yo Female,228973,UT,B,37.6100,-123.2469,,,,00:55:00 01-Jun-2022,4,01:17:04 01-Jun-2022,176,164,0,802,1,-16,,,,,
D732 - 3yo Female,228973,UT,B,38.1538,-124.4081,,,,03:56:16 03-Jun-2022,,,1513,,,,,,142,146,14.80,9.30,89
D732 - 3yo Female,228973,UT,B,38.1538,-124.4081,,,,03:56:16 03-Jun-2022,0,03:56:16 03-Jun-2022,167,0,176,1117,1,63,,,,,
D732 - 3yo Female,228973,UT,B,38.1538,-124.4081,,,,03:56:16 03-Jun-2022,1,03:59:03 03-Jun-2022,145,176,228,1277,9,,,,,,
