DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,,,541,,,,,,65,,12.50,,67
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,0,12:42:06 06-May-2023,119,0,62,1430,0,33,,,,,
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,1,12:44:05 06-May-2023,66,62,86,564,0,,,,,,
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,2,12:45:11 06-May-2023,159,86,80,1666,3,,,,,,
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,3,12:47:50 06-May-2023,45,80,62,551,0,,,,,,
K958 - Wean Male,240265,UT,B,37.0852,-122.4069,,,,12:42:06 06-May-2023,4,12:48:35 06-May-2023,85,62,0,931,0,-15,,,,,
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,,,895,,,,,,41,196,12.70,8.70,97
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,0,02:06:42 07-May-2023,206,0,156,1709,0,49,,,,,
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,1,02:10:08 07-May-2023,280,156,248,1855,0,,,,,,
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,2,02:14:48 07-May-2023,113,248,220,833,0,,,,,,
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,3,02:16:41 07-May-2023,56,220,184,511,0,,,,,,
K958 - Wean Male,240265,UT,B,36.8380,-122.3008,,,,02:06:42 07-May-2023,4,02:17:37 07-May-2023,143,184,0,1636,0,-46,,,,,
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,,,765,,,,,,132,122,12.00,,77
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,0,11:58:32 07-May-2023,38,0,21,451,0,40,,,,,
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,1,11:59:10 07-May-2023,80,21,112,902,0,,,,,,
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,2,12:00:30 07-May-2023,473,112,106,4091,9,,,,,,
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,3,12:08:23 07-May-2023,27,106,82,354,0,,,,,,
K958 - Wean Male,240265,UT,B,36.7864,-122.2159,,,,11:58:32 07-May-2023,4,12:08:50 07-May-2023,70,82,0,709,0,-37,,,,,
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,,,1120,,,,,,115,255,13.00,9.00,89
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,0,18:44:49 07-May-2023,169,0,128,1449,0,48,,,,,
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,1,18:47:38 07-May-2023,709,128,220,593,0,,,,,,
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,2,18:59:27 07-May-2023,0,220,216,148,0,,,,,,
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,3,18:59:27 07-May-2023,48,216,136,844,1,,,,,,
K958 - Wean Male,240265,UT,B,36.6293,-122.0483,,,,18:44:49 07-May-2023,4,19:00:15 07-May-2023,105,136,0,1426,0,-47,,,,,
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,,,617,,,,,,10,,12.30,,54
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,0,04:52:37 08-May-2023,172,0,20,2282,12,11,,,,,
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,1,04:55:29 08-May-2023,39,20,62,609,2,,,,,,
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,2,04:56:08 08-May-2023,75,62,70,1704,11,,,,,,
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,3,04:57:23 08-May-2023,202,70,52,3865,19,,,,,,
K958 - Wean Male,240265,UT,B,36.4880,-121.9666,,,,04:52:37 08-May-2023,4,05:00:45 08-May-2023,75,52,0,882,1,-19,,,,,
K958 - Wean Male,240265,UT,B,36.3224,-122.0186,,,,17:51:52 08-May-2023,,,666,,,,,,78,142,12.60,,58
K958 - Wean Male,240265,UT,B,36.3224,-122.0186,,,,17:51:52 08-May-2023,0,17:51:52 08-May-2023,114,0,80,1568,0,46,,,,,
