DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,,,316,,,,,,81,,12.50,,43
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,0,19:45:27 06-May-2023,36,0,19,421,0,29,,,,,
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,1,19:46:03 06-May-2023,103,19,36,1244,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,2,19:47:46 06-May-2023,66,36,31,862,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,3,19:48:52 06-May-2023,47,31,15,578,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,19:45:27 06-May-2023,4,19:49:39 06-May-2023,21,15,0,137,0,-34,,,,,
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,,,283,,,,,,43,,12.30,,39
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,0,01:57:56 07-May-2023,36,0,15,486,0,25,,,,,
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,1,01:58:32 07-May-2023,67,15,20,881,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,2,01:59:39 07-May-2023,30,20,20,389,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,3,02:00:09 07-May-2023,63,20,3,659,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,01:57:56 07-May-2023,4,02:01:12 07-May-2023,48,3,0,395,0,5,,,,,
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,,,318,,,,,,28,,12.40,,51
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,0,05:25:33 07-May-2023,75,0,18,470,0,20,,,,,
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,1,05:26:48 07-May-2023,129,18,10,1269,1,,,,,,
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,2,05:28:57 07-May-2023,21,10,9,230,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,3,05:29:18 07-May-2023,15,9,2,100,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,05:25:33 07-May-2023,4,05:29:33 07-May-2023,27,2,0,200,0,7,,,,,
J724 - Wean Female,240249,UT,,,,,,,00:40:36 08-May-2023,,,610,,,,,,103,,13.00,,46
J724 - Wean Female,240249,UT,,,,,,,00:40:36 08-May-2023,0,00:40:36 08-May-2023,57,0,16,589,0,24,,,,,
J724 - Wean Female,240249,UT,,,,,,,00:40:36 08-May-2023,1,00:41:33 08-May-2023,243,16,31,1492,0,,,,,,
J724 - Wean Female,240249,UT,,,,,,,00:40:36 08-May-2023,2,00:45:36 08-May-2023,35,31,24,301,0,,,,,,
