DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,,,546,,,,,,35,173,12.60,8.60,46
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,0,15:11:40 10-May-2023,35,0,41,571,0,62,,,,,
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,1,15:12:15 10-May-2023,153,41,164,1859,2,,,,,,
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,2,15:14:48 10-May-2023,187,164,132,1654,2,,,,,,
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,3,15:17:55 10-May-2023,43,132,98,439,0,,,,,,
L037 - Wean Female,240261,UT,,,,,,,15:11:40 10-May-2023,4,15:18:38 10-May-2023,82,98,0,849,0,-26,,,,,
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,,,440,,,,,,31,125,12.00,,53
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,0,04:13:33 11-May-2023,145,0,92,1750,1,41,,,,,
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,1,04:15:58 11-May-2023,70,92,110,703,0,,,,,,
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,2,04:17:08 11-May-2023,66,110,92,565,0,,,,,,
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,3,04:18:14 11-May-2023,61,92,45,565,0,,,,,,
L037 - Wean Female,240261,UT,B,37.4127,-122.6738,,,,04:13:33 11-May-2023,4,04:19:15 11-May-2023,45,45,0,372,0,-27,,,,,
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,,,620,,,,,,236,121,12.40,8.70,83
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,0,03:31:03 12-May-2023,197,0,164,2763,3,58,,,,,
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,1,03:34:20 12-May-2023,118,164,180,1806,12,,,,,,
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,2,03:36:18 12-May-2023,63,180,164,631,3,,,,,,
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,3,03:37:21 12-May-2023,130,164,19,914,0,,,,,,
L037 - Wean Female,240261,UT,B,37.7457,-123.3623,,,,03:31:03 12-May-2023,4,03:39:31 12-May-2023,29,19,0,239,2,-14,,,,,
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,,,578,,,,,,216,,11.20,,57
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,0,06:53:19 12-May-2023,41,0,32,714,6,47,,,,,
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,1,06:54:00 12-May-2023,228,32,86,3942,20,,,,,,
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,2,06:57:48 12-May-2023,48,86,56,435,0,,,,,,
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,3,06:58:36 12-May-2023,159,56,39,3104,18,,,,,,
L037 - Wean Female,240261,UT,B,37.8315,-123.4011,,,,06:53:19 12-May-2023,4,07:01:15 12-May-2023,45,39,0,341,4,-34,,,,,
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,,,643,,,,,,17,184,10.20,8.70,64
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,0,16:40:21 12-May-2023,127,0,136,2167,2,76,,,,,
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,1,16:42:28 12-May-2023,81,136,188,1354,7,,,,,,
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,2,16:43:49 12-May-2023,118,188,320,2866,17,,,,,,
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,3,16:45:47 12-May-2023,81,320,241,519,4,,,,,,
L037 - Wean Female,240261,UT,B,37.7871,-123.3790,,,,16:40:21 12-May-2023,4,16:47:08 12-May-2023,172,241,0,1106,2,-49,,,,,
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,,,1030,,,,,,154,96,11.70,8.70,56
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,0,02:53:46 13-May-2023,99,0,120,2152,0,77,,,,,
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,1,02:55:25 13-May-2023,152,120,248,2297,1,,,,,,
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,2,02:57:57 13-May-2023,282,248,296,1809,0,,,,,,
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,3,03:02:39 13-May-2023,236,296,216,1248,1,,,,,,
L037 - Wean Female,240261,UT,B,37.9473,-123.5729,,,,02:53:46 13-May-2023,4,03:06:35 13-May-2023,205,216,0,778,1,-29,,,,,
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,,,846,,,,,,62,241,12.20,9.10,69
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,0,16:37:03 13-May-2023,219,0,256,3325,7,78,,,,,
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,1,16:40:42 13-May-2023,60,256,304,654,1,,,,,,
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,2,16:41:42 13-May-2023,110,304,312,1440,10,,,,,,
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,3,16:43:32 13-May-2023,133,312,256,2697,14,,,,,,
L037 - Wean Female,240261,UT,B,38.2794,-123.8798,,,,16:37:03 13-May-2023,4,16:45:45 13-May-2023,255,256,0,2199,14,-54,,,,,
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,,,756,,,,,,231,155,12.30,9.40,65
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,0,02:38:29 14-May-2023,211,0,241,3736,4,74,,,,,
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,1,02:42:00 14-May-2023,140,241,320,1500,2,,,,,,
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,2,02:44:20 14-May-2023,108,320,264,1235,4,,,,,,
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,3,02:46:08 14-May-2023,135,264,88,971,4,,,,,,
L037 - Wean Female,240261,UT,B,38.4111,-124.1013,,,,02:38:29 14-May-2023,4,02:48:23 14-May-2023,97,88,0,1088,5,-20,,,,,
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,,,806,,,,,,38,15,12.60,9.00,70
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,0,15:49:44 14-May-2023,178,0,176,2648,0,64,,,,,
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,1,15:52:42 14-May-2023,127,176,220,1189,0,,,,,,
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,2,15:54:49 14-May-2023,305,220,168,1293,0,,,,,,
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,3,15:59:54 14-May-2023,74,168,58,688,0,,,,,,
L037 - Wean Female,240261,UT,B,38.6488,-124.3050,,,,15:49:44 14-May-2023,4,16:01:08 14-May-2023,52,58,0,188,0,-39,,,,,
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,,,718,,,,,,31,237,12.50,8.50,64
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,0,01:09:06 16-May-2023,209,0,224,3184,1,70,,,,,
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,1,01:12:35 16-May-2023,123,224,280,1228,0,,,,,,
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,2,01:14:38 16-May-2023,46,280,288,451,0,,,,,,
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,3,01:15:24 16-May-2023,82,288,248,702,0,,,,,,
L037 - Wean Female,240261,UT,,,,,,,01:09:06 16-May-2023,4,01:16:46 16-May-2023,194,248,0,1630,0,-29,,,,,
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,,,585,,,,,,12,237,13.20,8.80,52
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,0,00:53:07 17-May-2023,112,0,152,1966,1,78,,,,,
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,1,00:54:59 17-May-2023,59,152,184,1043,5,,,,,,
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,2,00:55:58 17-May-2023,212,184,176,5095,46,,,,,,
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,3,00:59:30 17-May-2023,63,176,116,923,3,,,,,,
L037 - Wean Female,240261,UT,,,,,,,00:53:07 17-May-2023,4,01:00:33 17-May-2023,87,116,0,602,1,-31,,,,,
L037 - Wean Female,240261,UT,,,,,,,17:27:36 17-May-2023,,,809,,,,,,84,9,13.00,9.00,65
L037 - Wean Female,240261,UT,,,,,,,17:27:36 17-May-2023,0,17:27:36 17-May-2023,116,0,148,2309,1,75,,,,,
L037 - Wean Female,240261,UT,,,,,,,17:27:36 17-May-2023,1,17:29:32 17-May-2023,76,148,180,1610,16,,,,,,
