DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,,,470,,,,,,220,,10.80,,52
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,0,02:43:02 13-May-2023,13,0,14,362,0,38,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,1,02:43:15 13-May-2023,238,14,15,4177,1,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,2,02:47:13 13-May-2023,85,15,26,1447,2,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,3,02:48:38 13-May-2023,66,26,23,1250,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,02:43:02 13-May-2023,4,02:49:44 13-May-2023,16,23,0,164,0,-32,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,,,927,,,,,,132,3,11.90,8.70,71
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,0,12:35:44 13-May-2023,80,0,116,1171,1,67,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,1,12:37:04 13-May-2023,201,116,288,2576,6,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,2,12:40:25 13-May-2023,100,288,336,1171,1,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,3,12:42:05 13-May-2023,301,336,188,4250,5,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,12:35:44 13-May-2023,4,12:47:06 13-May-2023,174,188,0,2242,1,-24,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,,,783,,,,,,215,104,12.30,8.70,92
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,0,05:08:29 14-May-2023,162,0,172,2081,0,56,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,1,05:11:11 14-May-2023,162,172,256,2225,1,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,2,05:13:53 14-May-2023,183,256,164,3038,3,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,3,05:16:56 14-May-2023,27,164,200,718,3,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:08:29 14-May-2023,4,05:17:23 14-May-2023,157,200,0,2488,0,-32,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,,,947,,,,,,106,53,13.40,8.90,76
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,0,18:47:29 15-May-2023,136,0,176,1511,0,70,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,1,18:49:45 15-May-2023,177,176,272,1889,1,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,2,18:52:42 15-May-2023,136,272,296,1606,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,3,18:54:58 15-May-2023,259,296,216,3999,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,18:47:29 15-May-2023,4,18:59:17 15-May-2023,163,216,0,2487,0,-24,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,,,818,,,,,,140,96,13.50,8.70,87
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,0,05:27:49 16-May-2023,120,0,156,1150,2,72,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,1,05:29:49 16-May-2023,171,156,304,3395,12,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,2,05:32:40 16-May-2023,92,304,328,1711,6,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,3,05:34:12 16-May-2023,142,328,224,2085,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:27:49 16-May-2023,4,05:36:34 16-May-2023,206,224,0,2700,1,-21,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,,,800,,,,,,172,81,13.50,8.70,79
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,0,05:17:59 17-May-2023,124,0,176,1463,0,70,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,1,05:20:03 17-May-2023,124,176,248,2237,11,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,2,05:22:07 17-May-2023,180,248,248,2954,13,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,3,05:25:07 17-May-2023,158,248,192,3642,20,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,05:17:59 17-May-2023,4,05:27:45 17-May-2023,135,192,0,1893,0,-33,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,,,1322,,,,,,105,42,13.00,8.60,254
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,0,19:02:12 17-May-2023,292,0,384,2587,0,74,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,1,19:07:04 17-May-2023,175,384,498,2412,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,2,19:09:59 17-May-2023,84,498,416,1228,0,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,3,19:11:23 17-May-2023,217,416,432,5131,34,,,,,,
K696 - 1 yo Female,240256,UT,,,,,,,19:02:12 17-May-2023,4,19:15:00 17-May-2023,300,432,0,5569,1,-52,,,,,
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,,,956,,,,,,29,219,13.60,8.90,86
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,0,02:05:30 18-May-2023,428,0,512,4743,4,64,,,,,
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,1,02:12:38 18-May-2023,34,512,498,635,0,,,,,,
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,2,02:13:12 18-May-2023,136,498,360,2091,4,,,,,,
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,3,02:15:28 18-May-2023,156,360,172,2651,2,,,,,,
K696 - 1 yo Female,240256,UT,A,39.1524,-126.4134,,,,02:05:30 18-May-2023,4,02:18:04 18-May-2023,116,172,0,1606,2,-41,,,,,
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,,,716,,,,,,166,74,13.50,8.70,138
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,0,12:52:22 18-May-2023,167,0,176,733,0,57,,,,,
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,1,12:55:09 18-May-2023,86,176,208,314,0,,,,,,
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,2,12:56:35 18-May-2023,113,208,184,715,0,,,,,,
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,3,12:58:28 18-May-2023,180,184,8,2216,3,,,,,,
K696 - 1 yo Female,240256,UT,B,39.3042,-126.3682,,,,12:52:22 18-May-2023,4,13:01:28 18-May-2023,32,8,0,105,0,-25,,,,,
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,,,924,,,,,,9,189,13.80,9.10,80
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,0,02:35:56 19-May-2023,330,0,392,3982,2,65,,,,,
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,1,02:41:26 19-May-2023,66,392,424,972,0,,,,,,
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,2,02:42:32 19-May-2023,66,424,408,1003,1,,,,,,
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,3,02:43:38 19-May-2023,204,408,232,3511,1,,,,,,
K696 - 1 yo Female,240256,UT,B,39.4580,-126.5286,,,,02:35:56 19-May-2023,4,02:47:02 19-May-2023,178,232,0,2790,0,-23,,,,,
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,,,844,,,,,,44,113,13.90,9.20,79
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,0,12:27:15 19-May-2023,209,0,256,1826,5,67,,,,,
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,1,12:30:44 19-May-2023,239,256,312,4933,23,,,,,,
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,2,12:34:43 19-May-2023,138,312,196,2214,5,,,,,,
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,3,12:37:01 19-May-2023,36,196,200,1165,10,,,,,,
K696 - 1 yo Female,240256,UT,B,39.8676,-126.8867,,,,12:27:15 19-May-2023,4,12:37:37 19-May-2023,143,200,0,2136,1,-36,,,,,
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,,,967,,,,,,113,23,13.00,8.50,95
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,0,19:15:28 19-May-2023,334,0,424,3312,5,70,,,,,
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,1,19:21:02 19-May-2023,163,424,440,2322,1,,,,,,
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,2,19:23:45 19-May-2023,68,440,416,990,0,,,,,,
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,3,19:24:53 19-May-2023,41,416,368,649,1,,,,,,
K696 - 1 yo Female,240256,UT,B,40.0956,-127.3206,,,,19:15:28 19-May-2023,4,19:25:34 19-May-2023,266,368,0,4336,1,-33,,,,,
