DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,,,325,,,,,,101,,10.40,,39
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,0,17:15:14 20-May-2023,9,0,11,195,0,53,,,,,
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,1,17:15:23 20-May-2023,33,11,16,586,1,,,,,,
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,2,17:15:56 20-May-2023,195,16,23,3546,3,,,,,,
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,3,17:19:11 20-May-2023,15,23,23,223,0,,,,,,
H484 - 1 yo Male,240237,UT,B,37.2003,-122.3588,,,,17:15:14 20-May-2023,4,17:19:26 20-May-2023,34,23,0,698,0,-5,,,,,
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,,,748,,,,,,68,124,12.90,8.60,75
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,0,16:50:47 21-May-2023,152,0,204,963,0,76,,,,,
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,1,16:53:19 21-May-2023,127,204,304,550,1,,,,,,
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,2,16:55:26 21-May-2023,220,304,228,3494,0,,,,,,
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,3,16:59:06 21-May-2023,74,228,144,1458,0,,,,,,
H484 - 1 yo Male,240237,UT,B,37.1870,-122.2538,,,,16:50:47 21-May-2023,4,17:00:20 21-May-2023,100,144,0,1761,0,-28,,,,,
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,,,847,,,,,,163,98,12.40,9.10,85
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,0,06:27:18 23-May-2023,137,0,208,822,0,79,,,,,
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,1,06:29:35 23-May-2023,119,208,344,584,0,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,2,06:31:34 23-May-2023,125,344,384,1379,3,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,3,06:33:39 23-May-2023,185,384,264,2626,4,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2325,-123.1199,,,,06:27:18 23-May-2023,4,06:36:44 23-May-2023,196,264,0,3368,0,-24,,,,,
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,,,648,,,,,,81,27,11.60,8.60,70
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,0,16:20:22 23-May-2023,117,0,156,982,0,72,,,,,
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,1,16:22:19 23-May-2023,95,156,204,1117,2,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,2,16:23:54 23-May-2023,59,204,156,1021,0,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,3,16:24:53 23-May-2023,176,156,184,2446,1,,,,,,
H484 - 1 yo Male,240237,UT,B,38.2496,-123.0843,,,,16:20:22 23-May-2023,4,16:27:49 23-May-2023,131,184,0,2388,0,-20,,,,,
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,,,482,,,,,,80,,9.30,,51
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,0,16:32:49 25-May-2023,24,0,22,174,0,70,,,,,
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,1,16:33:13 25-May-2023,57,22,92,213,0,,,,,,
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,2,16:34:10 25-May-2023,124,92,94,1836,0,,,,,,
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,3,16:36:14 25-May-2023,159,94,94,2455,0,,,,,,
H484 - 1 yo Male,240237,UT,B,40.1869,-124.3866,,,,16:32:49 25-May-2023,4,16:38:53 25-May-2023,67,94,0,1082,0,-21,,,,,
H484 - 1 yo Male,240237,UT,,,,,,,03:39:55 02-Jun-2023,,,690,,,,,,196,103,12.70,7.60,85
