DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,,,1327,,,,,,189,85,12.70,8.90,91
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,0,02:41:24 18-May-2023,338,0,376,1994,0,66,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,1,02:47:02 18-May-2023,183,376,448,1709,1,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,2,02:50:05 18-May-2023,338,448,336,4521,6,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,3,02:55:43 18-May-2023,203,336,188,2706,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,02:41:24 18-May-2023,4,02:59:06 18-May-2023,174,188,0,2065,0,-16,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,,,1290,,,,,,112,,13.00,8.50,97
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,0,00:00:07 19-May-2023,224,0,248,1349,0,69,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,1,00:03:51 19-May-2023,270,248,312,1349,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,2,00:08:21 19-May-2023,494,312,256,4392,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,3,00:16:35 19-May-2023,84,256,184,1003,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,00:00:07 19-May-2023,4,00:17:59 19-May-2023,121,184,0,1349,0,-25,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,,,1230,,,,,,193,77,12.90,8.40,84
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,0,03:42:54 19-May-2023,269,0,272,1420,2,67,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,1,03:47:23 19-May-2023,188,272,368,834,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,2,03:50:31 19-May-2023,492,368,180,3921,2,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,3,03:58:43 19-May-2023,90,180,110,741,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,03:42:54 19-May-2023,4,04:00:13 19-May-2023,107,110,0,710,0,-18,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,,,1478,,,,,,55,11,13.30,8.90,89
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,0,15:56:51 20-May-2023,206,0,224,919,1,70,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,1,16:00:17 20-May-2023,293,224,336,1976,9,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,2,16:05:10 20-May-2023,651,336,241,5836,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,3,16:16:01 20-May-2023,120,241,168,1241,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,15:56:51 20-May-2023,4,16:18:01 20-May-2023,119,168,0,1379,1,-18,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,,,1408,,,,,,80,40,13.20,9.20,93
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,0,17:18:05 21-May-2023,483,0,544,3104,1,67,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,1,17:26:08 21-May-2023,72,544,576,924,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,2,17:27:20 21-May-2023,287,576,544,3917,8,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,3,17:32:07 21-May-2023,319,544,228,4693,0,,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,17:18:05 21-May-2023,4,17:37:26 21-May-2023,154,228,0,2069,0,-22,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,04:02:17 22-May-2023,,,1150,,,,,,179,91,13.50,9.10,87
G960 - 3 yo Female,240253,UT,,,,,,,04:02:17 22-May-2023,0,04:02:17 22-May-2023,299,0,328,2879,11,60,,,,,
G960 - 3 yo Female,240253,UT,,,,,,,04:02:17 22-May-2023,1,04:07:16 22-May-2023,291,328,456,3849,10,,,,,,
