DeployID,Ptt,Instr,LocationQuality,Latitude,Longitude,DiveNumber,MobilityAvg,MobilitySD,DiveStart,Segment,SegmentStart,Duration,InitialDepth,FinalDepth,SwimEffort,ActivityCount,Pitch,LightShallow,LightDeep,TempShallow,TempDeep,SurfaceInterval
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,,,814,,,,,,248,,13.60,,56
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,0,13:57:22 18-Jun-2023,71,0,56,595,0,49,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,1,13:58:33 18-Jun-2023,107,56,68,1144,2,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,2,14:00:20 18-Jun-2023,491,68,66,5813,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,3,14:08:31 18-Jun-2023,36,66,50,458,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,13:57:22 18-Jun-2023,4,14:09:07 18-Jun-2023,53,50,0,549,0,-3,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,,,971,,,,,,106,,12.90,,63
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,0,23:54:52 18-Jun-2023,99,0,88,865,1,51,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,1,23:56:31 18-Jun-2023,178,88,90,1643,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,2,23:59:29 18-Jun-2023,532,90,88,5492,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,3,00:08:21 19-Jun-2023,28,88,74,346,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,23:54:52 18-Jun-2023,4,00:08:49 19-Jun-2023,71,74,0,692,0,-9,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,,,866,,,,,,139,,13.80,,66
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,0,03:36:40 19-Jun-2023,69,0,72,401,1,56,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,1,03:37:49 19-Jun-2023,44,72,92,351,1,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,2,03:38:33 19-Jun-2023,412,92,100,3185,1,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,3,03:45:25 19-Jun-2023,213,100,72,1831,3,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,03:36:40 19-Jun-2023,4,03:48:58 19-Jun-2023,62,72,0,602,0,-16,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,,,1033,,,,,,50,37,10.10,,76
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,0,19:04:03 19-Jun-2023,105,0,116,697,1,58,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,1,19:05:48 19-Jun-2023,15,116,128,116,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,2,19:06:03 19-Jun-2023,687,128,124,7380,9,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,3,19:17:30 19-Jun-2023,60,124,106,872,1,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,19:04:03 19-Jun-2023,4,19:18:30 19-Jun-2023,90,106,0,872,0,-22,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,,,919,,,,,,35,,10.50,,69
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,0,01:47:50 20-Jun-2023,60,0,78,471,0,54,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,1,01:48:50 20-Jun-2023,40,78,104,294,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,2,01:49:30 20-Jun-2023,657,104,104,7473,3,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,3,02:00:27 20-Jun-2023,27,104,82,294,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,01:47:50 20-Jun-2023,4,02:00:54 20-Jun-2023,66,82,0,588,0,-23,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,,,1090,,,,,,209,109,11.60,8.10,82
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,0,02:45:12 21-Jun-2023,236,0,144,1149,0,45,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,1,02:49:08 21-Jun-2023,347,144,156,5611,23,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,2,02:54:55 21-Jun-2023,149,156,156,1458,1,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,3,02:57:24 21-Jun-2023,166,156,116,1856,0,,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,02:45:12 21-Jun-2023,4,03:00:10 21-Jun-2023,110,116,0,1149,0,-18,,,,,
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,,,772,,,,,,136,,9.30,,62
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,0,03:50:10 22-Jun-2023,50,0,54,371,0,52,,,,,
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,1,03:51:00 22-Jun-2023,116,54,47,997,0,,,,,,
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,2,03:52:56 22-Jun-2023,300,47,60,2946,0,,,,,,
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,3,03:57:56 22-Jun-2023,183,60,58,2343,5,,,,,,
G244 - 3 yo Male,240247,UT,B,40.2994,-124.5219,,,,03:50:10 22-Jun-2023,4,04:00:59 22-Jun-2023,61,58,0,603,0,-5,,,,,
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,,,1286,,,,,,181,69,12.70,,124
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,0,01:42:38 23-Jun-2023,182,0,112,985,0,53,,,,,
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,1,01:45:40 23-Jun-2023,617,112,112,3475,2,,,,,,
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,2,01:55:57 23-Jun-2023,227,112,110,1614,0,,,,,,
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,3,01:59:44 23-Jun-2023,45,110,94,492,0,,,,,,
G244 - 3 yo Male,240247,UT,B,40.8956,-124.6967,,,,01:42:38 23-Jun-2023,4,02:00:29 23-Jun-2023,91,94,0,739,0,-28,,,,,
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,,,1210,,,,,,163,,12.70,,110
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,0,05:11:40 23-Jun-2023,180,0,98,964,0,42,,,,,
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,1,05:14:40 23-Jun-2023,35,98,100,227,0,,,,,,
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,2,05:15:15 23-Jun-2023,739,100,90,7205,4,,,,,,
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,3,05:27:34 23-Jun-2023,43,90,78,624,0,,,,,,
G244 - 3 yo Male,240247,UT,B,41.0104,-124.7287,,,,05:11:40 23-Jun-2023,4,05:28:17 23-Jun-2023,103,78,0,1078,0,-12,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,17:13:44 25-Jun-2023,,,1053,,,,,,61,169,11.20,,77
G244 - 3 yo Male,240247,UT,,,,,,,17:13:44 25-Jun-2023,0,17:13:44 25-Jun-2023,69,0,68,527,0,54,,,,,
G244 - 3 yo Male,240247,UT,,,,,,,17:13:44 25-Jun-2023,1,17:14:53 25-Jun-2023,53,68,98,324,1,,,,,,
