animalid,topp_id,season,tagging_procedure,date,age_class,Sex,ank_length,pel_length,umb_length,mid_length,ster_length,ax_length,neck_length,ears_length,curve_length,standard_length,seal_mass,tare,actual_mass,ank_girth,pel_girth,umb_girth,mid_girth,ster_girth,ax_girth,neck_girth,ears_girth
H948,2022201,RoD2022,Deployment,11-Apr-22,0,F,9,30,48,65,83,100,121,134,157,147,163.4,85,78.4,40,84,95,104,115,110,79,67
J477,2022202,RoD2022,Deployment,13-Apr-22,0,M,9,34,47,64,84,100,133,146,170,156,200.4,84,116.4,45,94,188,128,134,128,83,74
J498,2022203,RoD2022,Deployment,16-Apr-22,0,M,10,30,48,65,81,95,121,138,162,146,101.2,20.6,80.6,41,82,100,107,117,113,82,63
J484,2022204,RoD2022,Deployment,18-Apr-22,0,F,10,34,50,66,81,100,129,140,160,140,98.2,19.6,78.6,40,73,94,107,112,105,71,64
H918,2022205,RoD2022,Deployment,19-Apr-22,0,M,12,31,55,75,93,109,137,149,173,155,117,19.4,97.6,49,79,106,117,118,117,82,64
J275,2022206,RoD2022,Deployment,23-Apr-22,0,F,8,27,40,57,74,90,107,122,143,130,88.6,21,67.6,40,74,88,100,104,107,80,60
J450,2022207,RoD2022,Deployment,26-Apr-22,0,M,11,31,48,69,85,101,120,138,159,138,146.4,76.8,69.6,41,74,88,107,105,106,76,64
J416,2022208,RoD2022,Deployment,27-Apr-22,0,F,10,33,52,69,88,106,136,149,170,155,177.4,72,105.4,44,82,98,115,121,113,72,65
H875,2022209,RoD2022,Deployment,29-Apr-22,1,F,13,30,54,78,100,115,147,165,190,180,146.4,20.2,126.2,50,82,98,122,136,132,93,74
G465,2022210,RoD2022,Deployment,29-Apr-22,2,F,10,31,63,93,113,132,178,191,216,201,190,20.4,169.6,53,82,113,130,131,127,83,77
G967,2022211,RoD2022,Deployment,2-May-22,2,F,11,28,56,87,103,135,167,189,215,206,243.8,73.4,170.4,52,80,110,135,139,137,94,84
E820,2022212,RoD2022,Deployment,3-May-22,2,F,14,38,59,86,111,135,182,191,218,204,184.8,22.2,162.6,69,95,123,135,132,138,82,74
G240,2022213,RoD2022,Deployment,4-May-22,2,F,15,35,57,82,105,131,175,190,216,210,244.2,84.6,159.6,52,99,115,128,137,131,83,71
