animalid,Age,Sex,TxDays,DiveNum_tot,min_Ddur,max_Ddur,med_Ddur,Avg_Ddur,SE_Ddur
D732,3,F,146,202,6.72,70.4,26.3,28.1109900990099,0.5315942936388728
E749,3,M,3,3,12.78,20.17,15.68,16.21,2.1497054061739105
E820,2,F,12,13,13.25,38.22,22.75,22.814615384615387,1.780249411863915
E967,3,F,180,299,3.32,60.07,26.83,27.8085618729097,0.36933434929606307
G042,3,M,56,78,8.08,48.57,21.41,23.176794871794872,0.8081794741210647
G131,3,M,38,47,3.97,40.73,22.05,22.82808510638298,0.8888774967805602
G136,3,M,30,39,11.12,31.12,20.3,20.655128205128204,0.7518893765177332
G240,2,F,59,94,4.5,38.02,20.009999999999998,21.957127659574468,0.7352241376986883
G244,3,M,99,189,2.73,56.23,21.05,22.63111111111111,0.5718641656576986
G315,3,F,196,400,2.62,55.32,26.52,26.938725,0.28327169810679687
G340,2,M,24,27,13.18,27.63,18.9,18.89185185185185,0.8390487825834152
G375,3,F,170,279,6.47,65.13,26.22,26.942437275985665,0.40048396083502313
G461,3,M,128,241,5.72,36.25,17.63,18.313402489626558,0.33898171516329645
G465,2,F,33,41,1.93,39.38,18.93,20.40560975609756,1.1870792732883475
G634,3,F,157,235,5.08,47.88,27.82,28.48442553191489,0.49442657647460747
G686,3,F,7,10,14.62,23.82,19.915,19.98,0.7947298632589288
G960,3,F,136,194,10.95,52.8,26.310000000000002,27.136134020618556,0.44760751392960274
G967,2,F,45,53,4.25,44.02,28.37,27.834150943396228,1.0743020968087664
H047,2,M,38,48,7.83,31.08,19.04,19.719375,0.737312928927743
H049,3,M,1,-Inf,NA,NA,NA,NA,NA
H244,3,M,23,37,2.97,31.78,17.05,17.427027027027027,0.9335692160793119
H311,2,M,45,57,10.38,50.1,18.4,20.853157894736842,0.9472732982737755
H391,3,F,207,411,4.1,51.8,25.85,26.379610705596107,0.31941689887791364
H393,2,M,27,35,11.63,50.47,17.88,20.14857142857143,1.2799675115924984
H484,1,M,49,68,5.42,25.97,17.745,17.39308823529412,0.48912848520347135
H529,1,F,41,56,5.23,36.33,16.63,16.936785714285715,0.6874744910093008
H664,1,F,47,60,3.28,33.95,19.175,19.857333333333333,0.750688643043657
H712,2,M,119,279,4.42,49.03,19.08,20.028960573476702,0.3078676147315414
H719,1,M,32,36,9.42,26.33,16.59,17.131944444444443,0.7620931721819976
H795,2,M,60,91,9.7,53.28,21.57,21.844395604395604,0.7048988740813139
H835,1,M,32,37,7.77,29.62,17.8,18.64837837837838,0.8923355253024189
H840,1,M,76,103,3.85,29.8,16.35,17.244174757281552,0.5427722222199911
H875,1,F,26,33,11.57,39.23,22.35,22.57242424242424,1.2158421627950395
H891,1,F,4,4,5.65,17.68,11.219999999999999,11.442499999999999,2.5550354694211195
H918,0,M,19,23,6.35,22.63,12.03,12.511739130434783,0.7497793225208385
H948,0,F,8,8,8.28,44.12,11.155000000000001,15.17,4.207003514549109
J003,2,F,114,202,6.4,45.92,24.695,24.60222772277228,0.5109360815818477
J016,2,F,73,108,11.97,43.93,21.240000000000002,22.89574074074074,0.6453734245443176
J085,2,F,71,94,2.73,44.45,19.805,20.605744680851064,0.7565287329951279
J107,1,M,30,39,5.9,25.83,15.43,14.87025641025641,0.593774777839924
J109,2,F,78,96,10.93,41.07,25.71,25.650104166666665,0.7987916106009653
J136,2,M,33,39,8.55,34.28,19.37,20.482051282051284,0.9269956536581517
J187,1,F,19,27,3.73,31.25,18.65,19.346296296296295,1.4781749496621126
J256,1,F,123,253,3.67,50.93,18.13,19.039130434782606,0.4197169286021369
J275,0,F,29,35,3.5,21.42,8.1,8.727714285714285,0.5511133247878366
J277,1,M,49,73,7.55,27.28,14.7,15.44958904109589,0.5216192313019962
J278,1,F,28,34,6.6,45.92,13.995000000000001,15.806176470588236,1.2738665588480977
J284,1,M,75,152,4.35,47.53,18.96,19.29230263157895,0.391070427655301
J339,0,F,11,19,5.7,44.05,10.65,12.127894736842105,1.8470028794810593
J410,1,M,12,17,8.5,13.95,10.15,10.491764705882353,0.3792816694424956
J416,0,F,61,87,5.03,44.9,11.18,12.562183908045977,0.5693935777523795
J450,0,M,19,21,4.85,19.42,7.07,7.718571428571429,0.6379701014468752
J477,0,M,32,42,8.17,23.7,13.265,13.362380952380953,0.3980381344881799
J484,0,F,32,49,4.07,28.58,9.28,10.088163265306122,0.5343533247161022
J498,0,M,60,78,1.52,25.9,13.425,13.418846153846154,0.5568023621434145
J578,0,M,65,120,4.87,16.93,9.754999999999999,10.139666666666667,0.21694540140215574
J667,0,M,2,4,7.48,10.67,9.99,9.5325,0.7106613703680067
J724,0,F,201,554,2.4,44.23,9.69,10.66456678700361,0.19995050296263284
J727,0,M,49,91,4.22,36.68,11.7,11.936813186813186,0.40595968929365533
K335,2,M,38,55,10.05,34.12,18.58,19.597454545454546,0.7451669741783938
K696,1,F,74,117,4.6,46.85,20.93,21.80965811965812,0.7307270817192368
K958,0,M,44,77,4.95,20.98,11.17,11.752857142857144,0.34641503803430773
K960,0,F,157,291,3.2,42.97,12.47,13.301958762886597,0.2482473314452309
L037,0,F,67,134,2.62,47.78,9.14,9.859850746268657,0.4645273369627564
