TOPPID,animalid,season,age_class,Sex,date_Deployment,DepartDate,dep_Diff,DepartLat,DepartLon,ArriveDate,date_Recovery,rec_Diff,ArriveLat,ArriveLon,ArriveLoc,LastObsDate,trip_Dur,deployment_Dur,trip_Diff,standard_length_Deployment,standard_length_Recovery,change_SL,ax_girth_Deployment,ax_girth_Recovery,change_AxGirth,actual_mass_Deployment,actual_mass_Recovery,change_Mass
2022201,H948,RoD2022,0,F,2022-04-11,2022-04-26,15,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-05-24,28,NA,NA,147,NA,NA,110,NA,NA,78.4,NA,NA
2022202,J477,RoD2022,0,M,2022-04-13,2022-05-05,22,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-08-12,99,NA,NA,156,NA,NA,128,NA,NA,116.4,NA,NA
2022203,J498,RoD2022,0,M,2022-04-16,2022-04-26,10,37.11,-122.33,2022-12-11,2022-12-13,2,37.11,-122.33,ANNU,NA,229,241,12,146,159,13,113,122,9,80.6,113,32.400000000000006
2022204,J484,RoD2022,0,F,2022-04-18,2022-04-26,8,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-07-04,69,NA,NA,140,NA,NA,105,NA,NA,78.6,NA,NA
2022205,H918,RoD2022,0,M,2022-04-19,2022-05-04,15,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-06-08,35,NA,NA,155,NA,NA,117,NA,NA,97.6,NA,NA
2022206,J275,RoD2022,0,F,2022-04-23,2022-05-01,8,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-07-03,63,NA,NA,130,NA,NA,107,NA,NA,67.6,NA,NA
2022207,J450,RoD2022,0,M,2022-04-26,2022-05-11,15,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-06-02,22,NA,NA,138,NA,NA,106,NA,NA,69.6,NA,NA
2022208,J416,RoD2022,0,F,2022-04-27,2022-05-12,15,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-10-26,167,NA,NA,155,NA,NA,113,NA,NA,105.4,NA,NA
2022209,H875,RoD2022,1,F,2022-04-29,2022-05-12,13,37.11,-122.33,2022-10-02,2022-10-02,0,37.11,-122.33,ANNU,NA,143,156,13,180,186,6,132,154,22,126.2,197.6,71.39999999999999
2022210,G465,RoD2022,2,F,2022-04-29,2022-05-15,16,37.11,-122.33,2022-10-20,2022-10-23,3,37.11,-122.33,ANNU,NA,158,177,19,201,220,19,127,159,32,169.6,261.5,91.9
2022211,G967,RoD2022,2,F,2022-05-02,2022-05-16,14,37.11,-122.33,2023-04-02,2023-04-09,7,35.354,-120.871,PIBL,NA,321,342,21,206,235,29,137,180,43,170.4,344,173.6
2022212,E820,RoD2022,2,F,2022-05-03,2022-05-17,14,37.11,-122.33,2022-10-13,2022-10-13,0,37.11,-122.33,ANNU,NA,149,163,14,204,222,18,138,157,19,162.6,253.6,91
2022213,G240,RoD2022,2,F,2022-05-04,2022-05-18,14,37.11,-122.33,2022-09-09,2022-09-13,4,37.11,-122.33,ANNU,NA,114,132,18,210,223,13,131,154,23,159.6,235.8,76.20000000000002
2022214,H719,RoD2022,1,M,2022-05-05,2022-05-18,13,37.11,-122.33,2022-10-04,2022-10-04,0,37.11,-122.33,ANNU,NA,139,152,13,176,192,16,128,147,19,125,203.8,78.80000000000001
2022215,H047,RoD2022,2,M,2022-05-06,2022-05-21,15,37.11,-122.33,2022-10-26,2022-11-03,8,37.11,-122.33,ANNU,NA,158,181,23,224,235,11,155,179,24,217.4,317,99.6
2022216,H891,RoD2022,1,F,2022-05-07,2022-05-12,5,37.11,-122.33,2022-08-20,2022-08-27,7,37.11,-122.33,ANNU,NA,100,112,12,170,182,12,110,157,47,95.4,162.4,67
2022217,G340,RoD2022,2,M,2022-05-08,2022-05-14,6,37.11,-122.33,2022-09-25,2022-10-07,12,37.9942,-122.993,PTRE,NA,134,152,18,189,217,28,152,161,9,176.4,NA,NA
2022218,H311,RoD2022,2,M,2022-05-09,2022-06-02,24,37.11,-122.33,2022-10-27,2022-10-27,0,37.11,-122.33,ANNU,NA,147,171,24,207,231,24,163,213,50,229.4,340,110.6
2022219,H664,RoD2022,1,F,2022-05-10,2022-05-21,11,37.11,-122.33,2022-09-20,2022-09-22,2,37.11,-122.33,ANNU,NA,122,135,13,177,205,28,125,146,21,128,196.8,68.80000000000001
2022220,H393,RoD2022,2,M,2022-05-11,2022-05-25,14,37.11,-122.33,2022-10-07,2022-10-13,6,37.11,-122.33,ANNU,NA,135,155,20,205,216,11,143,177,34,178.4,272,93.6
2022221,H835,RoD2022,1,M,2022-05-12,2022-05-24,12,37.11,-122.33,2022-10-21,2022-10-23,2,37.11,-122.33,ANNU,NA,150,164,14,182,192,10,120,146,26,118.4,186.5,68.1
2022222,H840,RoD2022,1,M,2022-05-13,2022-05-22,9,37.11,-122.33,2022-11-04,2022-11-07,3,37.11,-122.33,ANNU,NA,166,178,12,189,192,3,138,147,9,131.8,168,36.19999999999999
2022223,G686,RoD2022,3,F,2022-05-14,2022-05-15,1,37.11,-122.33,NA,NA,NA,NA,NA,NA,2022-06-19,35,NA,NA,226,NA,NA,160,NA,NA,206,NA,NA
2022224,G634,RoD2022,3,F,2022-05-15,2022-06-03,19,37.11,-122.33,2023-01-07,2023-01-21,14,37.11,-122.33,ANNU,NA,218,251,33,234,249,15,175,185,10,250.6,378.5,127.9
2022225,G042,RoD2022,3,M,2022-05-16,2022-05-24,8,37.11,-122.33,2023-05-08,2023-05-09,1,37.11,-122.33,ANNU,NA,349,358,9,247,285,38,173,221,48,273.6,485,211.39999999999998
