FieldID,TOPPID,PTTID,TDRsn,DeployDate,DepartDate,DepartDateMethod,ArriveDate,ArriveDateMethod,DepartLat,DepartLon,DepartLoc,ArriveLat,ArriveLon,ArriveLoc,RecoveryDate,LastDateObs,LastObsMethod,Season,BirthYear,DeploymentType,Age,Sex,Comments
H948,2022201,228977,21A0954,4/11/22 0:00,4/26/22 17:50,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,5/24/22 18:49,Argos,RoD2022,2022,Juvenile,0,F,Offline Seal - Transmitted Data Only
J477,2022202,228978,21A0955,4/13/22 0:00,5/5/22 1:55,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,8/12/22 4:27,Argos,RoD2022,2022,Juvenile,0,M,Offline Seal - Transmitted Data Only
J498,2022203,228979,21A0956,4/16/22 0:00,4/26/22 2:00,TDR,12/11/22 23:00,Visual-Argos,37.11,-122.33,ANNU,37.11,-122.33,ANNU,12/13/22 0:00,,,RoD2022,2022,Juvenile,0,M,
J484,2022204,228980,21A0957,4/18/22 0:00,4/26/22 14:56,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,7/4/22 22:28,Argos,RoD2022,2022,Juvenile,0,F,Offline Seal - Transmitted Data Only
H918,2022205,228981,21A0958,4/19/22 0:00,5/4/22 3:49,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,6/8/22 15:50,Argos,RoD2022,2022,Juvenile,0,M,Offline Seal - Transmitted Data Only
J275,2022206,228982,21A0959,4/23/22 0:00,5/1/22 14:17,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,7/3/22 13:25,Argos,RoD2022,2022,Juvenile,0,F,Offline Seal - Transmitted Data Only
J450,2022207,228983,21A0960,4/26/22 0:00,5/11/22 14:51,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,6/2/22 13:45,Argos,RoD2022,2022,Juvenile,0,M,Offline Seal - Transmitted Data Only
J416,2022208,228984,21A0961,4/27/22 0:00,5/12/22 4:45,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,10/26/22 7:24,Argos,RoD2022,2022,Juvenile,0,F,Offline Seal - Transmitted Data Only
H875,2022209,228985,21A0962,4/29/22 0:00,5/12/22 1:00,TDR,10/2/22 13:00,Visual,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/2/22 0:00,,,RoD2022,2021,Juvenile,1,F,"Tag record ended on 09/26/2022 13:00; data failed to unzip from downloaded file, use WC extracted file only"
G465,2022210,228986,21A0969,4/30/22 0:00,5/15/22 5:00,TDR,10/20/22 16:00,Visual,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/23/22 0:00,,,RoD2022,2020,Juvenile,2,F,Tag record ended on 07/30/2022 23:00
G967,2022211,228956,22A0012,5/2/22 0:00,5/16/22 15:00,TDR,4/2/23 4:43,Argos,37.11,-122.33,ANNU,35.354,-120.871,PIBL,4/9/23 0:00,,,RoD2022,2020,Juvenile,2,F,Tag record ended on 8/18/2022 22:50
E820,2022212,228957,22A0013,5/3/22 0:00,5/17/22 6:00,TDR,10/13/22 8:00,Visual,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/13/22 0:00,,,RoD2022,2020,Juvenile,2,F,"Tag record ended on 10/01/2022  08:00; data failed to unzip from downloaded file, use WC extracted file only"
G240,2022213,228958,22A0014,5/4/22 0:00,5/18/22 12:00,TDR,9/9/22 17:00,Visual,37.11,-122.33,ANNU,37.11,-122.33,ANNU,9/13/22 0:00,,,RoD2022,2020,Juvenile,2,F,Tag record ended on 09/04/2022 05:00
H719,2022214,228959,22A0015,5/5/22 0:00,5/18/22 9:00,TDR,10/4/22 7:00,Visual,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/4/22 0:00,,,RoD2022,2021,Juvenile,1,M,Tag record ended on 09/29/2022 09:00
H047,2022215,228960,22A0016,5/6/22 0:00,5/21/22 4:59,Argos,10/26/22 4:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,11/3/22 0:00,,,RoD2022,2020,Juvenile,2,M,
H891,2022216,228987,22A0017,5/7/22 0:00,5/12/22 2:00,TDR,8/20/22 12:00,Argos,37.11,-122.33,ANNU,37.11,-122.33,ANNU,8/27/22 0:00,,,RoD2022,2021,Juvenile,1,F,Tag record ended on 08/18/2022 16:00; possible arrival to Ano as well?
G340,2022217,228961,22A0019,5/8/22 0:00,5/14/22 16:00,Visual,9/25/22 15:00,Argos,37.11,-122.33,ANNU,37.9942,-122.993,PTRE,10/7/22 0:00,,,RoD2022,2020,Juvenile,2,M,"Tag record started on 05/23/2022 21:00, tag record ended 09/22/2022 07:00."
H311,2022218,228962,22A0022,5/9/22 0:00,6/2/22 9:00,TDR,10/27/22 10:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/27/22 0:00,,,RoD2022,2020,Juvenile,2,M,
H664,2022219,228963,22A0023,5/10/22 0:00,5/21/22 13:00,TDR,9/20/22 10:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,9/22/22 0:00,,,RoD2022,2021,Juvenile,1,F,
H393,2022220,228964,22A0025,5/11/22 0:00,5/25/22 9:00,TDR,10/7/22 11:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/13/22 0:00,,,RoD2022,2020,Juvenile,2,M,
H835,2022221,228965,22A0028,5/12/22 0:00,5/24/22 16:00,TDR,10/21/22 16:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,10/23/22 0:00,,,RoD2022,2021,Juvenile,1,M,
H840,2022222,228966,22A0055,5/13/22 0:00,5/22/22 10:00,TDR,11/4/22 13:00,TDR,37.11,-122.33,ANNU,37.11,-122.33,ANNU,11/7/22 0:00,,,RoD2022,2021,Juvenile,1,M,
G686,2022223,228967,22A0058,5/14/22 0:00,5/15/22 7:02,Argos,NA,NA,37.11,-122.33,ANNU,NA,NA,NA,NA,6/19/22 15:11,Argos,RoD2022,2019,Juvenile,3,F,Offline Seal - Transmitted Data Only
G634,2022224,228968,22A0059,5/15/22 0:00,6/3/22 4:00,TDR,1/7/23 16:07,Visual-Argos,37.11,-122.33,ANNU,37.11,-122.33,ANNU,1/21/23 0:00,,,RoD2022,2019,Juvenile,3,F,
